zipcode,AVERAGE  PRICE,Income per capita,Median Age Male,Median Age Female,Bachelor's degree > 25,Public transportation,Cluster
11231,1273473.8329999999,65277,35.9,35.9,0.314177513,0.619161009,1
11232,566699.0833,26865,34.3,32.9,0.18369867199999998,0.7055266379999999,0
11233,492519.1667,24714,30.5,35.2,0.16958712199999998,0.701724762,0
11234,583641.0,34686,37.7,42.3,0.20448544899999999,0.43470004100000004,0
11235,363888.0833,31978,42.0,47.8,0.278809596,0.48356388899999997,0
11236,466989.0833,28457,34.4,40.7,0.182253422,0.547161172,0
11237,626018.0,24493,30.2,30.5,0.220135214,0.69408213,0
11238,915976.6667,53712,35.2,36.4,0.338980684,0.714497135,1
11239,480427.0833,19805,37.7,50.8,0.12091911,0.607126949,0
11354,386241.5,24143,44.3,46.4,0.13439746800000002,0.429376208,0
11355,447312.0,21007,41.5,44.3,0.122276971,0.43377899299999995,0
11356,677844.4167,25776,36.4,38.8,0.12717727,0.306960535,0
11357,743079.9167,38271,44.8,46.2,0.235206348,0.259461873,1
11358,855027.1667,32348,42.0,45.7,0.18518781,0.395507031,1
11360,466377.0833,47627,46.1,50.3,0.298679331,0.269297136,0
11361,724693.0,38598,41.4,44.5,0.245771773,0.329322309,0
11362,526279.0,41235,48.0,50.8,0.234828678,0.24769884399999997,0
11363,890055.25,51363,44.5,50.0,0.299375118,0.363097004,1
11364,433798.5,37342,43.0,46.7,0.258362,0.347828511,0
11365,622965.4167,30662,40.0,41.2,0.225375418,0.378754579,0
11366,869929.1667,33892,38.5,41.8,0.27115972,0.381227217,1
11367,353835.6667,27930,34.0,39.5,0.21477836100000003,0.419525661,0
11368,352905.1667,17595,32.2,32.6,0.09379390900000001,0.654729652,0
11369,554254.6667,22638,35.9,40.2,0.114589038,0.54675343,0
11370,599047.75,24012,35.5,40.9,0.141369048,0.530261651,0
11372,375287.8333,30059,40.1,40.9,0.183050847,0.6517960420000001,0
11373,372890.25,22873,37.1,39.2,0.19015973100000003,0.703898475,0
11374,352865.5,37825,41.9,45.4,0.29533770600000003,0.602079658,0
11375,400770.5833,49852,41.3,44.1,0.31747789600000004,0.6202124760000001,0
11377,374754.0833,27309,39.7,40.4,0.202303333,0.661154425,0
11378,676192.75,32412,36.6,38.7,0.190614473,0.464914286,0
11379,741084.1667,36661,42.1,43.2,0.208449396,0.43094733399999996,1
11385,641453.9167,29257,34.5,36.3,0.174298817,0.589774276,0
11411,494975.5,35141,41.2,46.6,0.19401709399999997,0.38197134,0
