,zipcode,RegionType,StateName,City,Metro,CountyName,AVERAGE  PRICE,Income per capita,Median Age Male,Median Age Female,Bachelor's degree > 25,Public transportation
2364,10468,Zip,NY,New York,New York-Newark-Jersey City,Bronx County,178317.6667,17454.0,30.7,33.5,0.106794344,0.7004876329999999
2365,10469,Zip,NY,New York,New York-Newark-Jersey City,Bronx County,443710.4167,25877.0,38.3,41.7,0.14835357300000002,0.46162066399999996
2366,10470,Zip,NY,New York,New York-Newark-Jersey City,Bronx County,336511.0833,31829.0,39.4,41.7,0.202266936,0.507444169
2367,10471,Zip,NY,New York,New York-Newark-Jersey City,Bronx County,280836.8333,49313.0,42.6,48.5,0.231372795,0.43134054299999997
2368,10472,Zip,NY,New York,New York-Newark-Jersey City,Bronx County,266707.25,16098.0,30.0,33.9,0.091300848,0.667438393
2369,10473,Zip,NY,New York,New York-Newark-Jersey City,Bronx County,330081.4167,22755.0,31.0,40.1,0.12467945400000001,0.500779475
2370,10475,Zip,NY,New York,New York-Newark-Jersey City,Bronx County,323524.0833,28976.0,43.1,48.6,0.183600658,0.554365818
2508,11004,Zip,NY,New York,New York-Newark-Jersey City,Queens County,358403.4167,38823.0,43.3,44.6,0.255569092,0.193382455
2518,11101,Zip,NY,New York,New York-Newark-Jersey City,Queens County,664643.75,46327.0,34.1,34.1,0.286566355,0.759810208
2519,11102,Zip,NY,New York,New York-Newark-Jersey City,New York County,581970.5,38734.0,32.9,34.6,0.32026504699999997,0.7207261359999999
2520,11103,Zip,NY,New York,New York-Newark-Jersey City,Queens County,571678.0,39470.0,34.4,33.4,0.336004996,0.731398707
2521,11105,Zip,NY,New York,New York-Newark-Jersey City,New York County,656673.6667,40501.0,35.1,35.7,0.311188335,0.641028016
2522,11106,Zip,NY,New York,New York-Newark-Jersey City,New York County,508554.5833,37016.0,35.3,35.8,0.336691939,0.723591798
2523,11201,Zip,NY,New York,New York-Newark-Jersey City,Kings County,976577.1667,83309.0,35.1,35.2,0.356728709,0.68449228
2524,11203,Zip,NY,New York,New York-Newark-Jersey City,Kings County,519021.3333,25917.0,36.3,42.5,0.157450265,0.601068177
2525,11204,Zip,NY,New York,New York-Newark-Jersey City,Kings County,751895.5,22425.0,33.3,36.3,0.18664916199999998,0.525497452
2526,11205,Zip,NY,New York,New York-Newark-Jersey City,Kings County,694686.6667,31851.0,28.9,30.8,0.259357608,0.596962506
2527,11206,Zip,NY,New York,New York-Newark-Jersey City,Kings County,636296.4167,22147.0,27.7,30.9,0.205030716,0.669049065
2528,11207,Zip,NY,New York,New York-Newark-Jersey City,Kings County,427571.75,20285.0,32.0,35.7,0.109454215,0.68128655
2529,11208,Zip,NY,New York,New York-Newark-Jersey City,Kings County,464138.0,19195.0,30.8,33.7,0.106047583,0.662223924
2530,11209,Zip,NY,New York,New York-Newark-Jersey City,Kings County,468544.1667,43049.0,39.1,42.1,0.284087551,0.577211127
2531,11210,Zip,NY,New York,New York-Newark-Jersey City,Kings County,620948.4167,30110.0,33.9,36.9,0.206584247,0.552514449
2532,11211,Zip,NY,New York,New York-Newark-Jersey City,Kings County,854564.25,42580.0,31.0,30.5,0.327428338,0.6251380089999999
2533,11212,Zip,NY,New York,New York-Newark-Jersey City,Kings County,426505.5,18772.0,32.9,40.2,0.104614746,0.674312446
2534,11213,Zip,NY,New York,New York-Newark-Jersey City,Kings County,639832.0833,23547.0,30.4,35.9,0.179448065,0.654250105
2535,11214,Zip,NY,New York,New York-Newark-Jersey City,Kings County,445717.25,25960.0,37.9,41.1,0.20629795899999998,0.5893218929999999
2536,11215,Zip,NY,New York,New York-Newark-Jersey City,Kings County,1117417.3329999999,70556.0,36.1,35.9,0.36227912100000004,0.676745843
2537,11216,Zip,NY,New York,New York-Newark-Jersey City,Kings County,825523.3333,38741.0,33.2,35.1,0.289290323,0.7237762240000001
2538,11217,Zip,NY,New York,New York-Newark-Jersey City,Kings County,1146125.5829999999,67630.0,35.2,34.8,0.332066147,0.722256473
2539,11218,Zip,NY,New York,New York-Newark-Jersey City,Kings County,580771.0,31494.0,32.8,35.3,0.240798918,0.610363351
2540,11219,Zip,NY,New York,New York-Newark-Jersey City,Kings County,727409.0833,16398.0,27.2,28.6,0.12055162900000001,0.400111989
2541,11220,Zip,NY,New York,New York-Newark-Jersey City,Kings County,523910.6667,20151.0,33.5,35.1,0.13887608699999998,0.615028632
2542,11221,Zip,NY,New York,New York-Newark-Jersey City,Kings County,726806.9167,27350.0,30.3,33.5,0.21005659899999998,0.68456691
2543,11222,Zip,NY,New York,New York-Newark-Jersey City,Kings County,909138.8333,51177.0,35.2,34.3,0.390926865,0.65719738
2544,11223,Zip,NY,New York,New York-Newark-Jersey City,Kings County,633049.5,26454.0,34.6,38.5,0.19937904,0.5544838910000001
2545,11224,Zip,NY,New York,New York-Newark-Jersey City,Kings County,451152.0,22454.0,41.9,48.0,0.20492988899999998,0.566083097
2546,11225,Zip,NY,New York,New York-Newark-Jersey City,Kings County,679112.1667,34358.0,33.0,36.6,0.225926703,0.72778101
2547,11226,Zip,NY,New York,New York-Newark-Jersey City,Kings County,591679.75,26057.0,33.0,36.3,0.18662218100000003,0.728057885
2548,11228,Zip,NY,New York,New York-Newark-Jersey City,Kings County,882899.4167,32795.0,39.3,42.4,0.215232302,0.4748
2549,11229,Zip,NY,New York,New York-Newark-Jersey City,Kings County,486128.5,31040.0,38.6,43.0,0.226404875,0.5135361279999999
2550,11230,Zip,NY,New York,New York-Newark-Jersey City,Kings County,448554.9167,27187.0,32.7,34.8,0.23173471199999998,0.505064676
2551,11231,Zip,NY,New York,New York-Newark-Jersey City,Kings County,1273473.8329999999,65277.0,35.9,35.9,0.314177513,0.619161009
2552,11232,Zip,NY,New York,New York-Newark-Jersey City,Kings County,566699.0833,26865.0,34.3,32.9,0.18369867199999998,0.7055266379999999
2553,11233,Zip,NY,New York,New York-Newark-Jersey City,Kings County,492519.1667,24714.0,30.5,35.2,0.16958712199999998,0.701724762
2554,11234,Zip,NY,New York,New York-Newark-Jersey City,Kings County,583641.0,34686.0,37.7,42.3,0.20448544899999999,0.43470004100000004
2555,11235,Zip,NY,New York,New York-Newark-Jersey City,Kings County,363888.0833,31978.0,42.0,47.8,0.278809596,0.48356388899999997
2556,11236,Zip,NY,New York,New York-Newark-Jersey City,Kings County,466989.0833,28457.0,34.4,40.7,0.182253422,0.547161172
2557,11237,Zip,NY,New York,New York-Newark-Jersey City,Kings County,626018.0,24493.0,30.2,30.5,0.220135214,0.69408213
2558,11238,Zip,NY,New York,New York-Newark-Jersey City,Kings County,915976.6667,53712.0,35.2,36.4,0.338980684,0.714497135
2559,11239,Zip,NY,New York,New York-Newark-Jersey City,Kings County,480427.0833,19805.0,37.7,50.8,0.12091911,0.607126949
2560,11354,Zip,NY,New York,New York-Newark-Jersey City,Queens County,386241.5,24143.0,44.3,46.4,0.13439746800000002,0.429376208
2561,11355,Zip,NY,New York,New York-Newark-Jersey City,Queens County,447312.0,21007.0,41.5,44.3,0.122276971,0.43377899299999995
2562,11356,Zip,NY,New York,New York-Newark-Jersey City,Queens County,677844.4167,25776.0,36.4,38.8,0.12717727,0.306960535
2563,11357,Zip,NY,New York,New York-Newark-Jersey City,Queens County,743079.9167,38271.0,44.8,46.2,0.235206348,0.259461873
2564,11358,Zip,NY,New York,New York-Newark-Jersey City,Queens County,855027.1667,32348.0,42.0,45.7,0.18518781,0.395507031
2565,11360,Zip,NY,New York,New York-Newark-Jersey City,Queens County,466377.0833,47627.0,46.1,50.3,0.298679331,0.269297136
2566,11361,Zip,NY,New York,New York-Newark-Jersey City,Queens County,724693.0,38598.0,41.4,44.5,0.245771773,0.329322309
2567,11362,Zip,NY,New York,New York-Newark-Jersey City,Queens County,526279.0,41235.0,48.0,50.8,0.234828678,0.24769884399999997
2568,11363,Zip,NY,New York,New York-Newark-Jersey City,Queens County,890055.25,51363.0,44.5,50.0,0.299375118,0.363097004
2569,11364,Zip,NY,New York,New York-Newark-Jersey City,Queens County,433798.5,37342.0,43.0,46.7,0.258362,0.347828511
2570,11365,Zip,NY,New York,New York-Newark-Jersey City,Queens County,622965.4167,30662.0,40.0,41.2,0.225375418,0.378754579
