zipcode,RegionType,StateName,City,Metro,CountyName,AVERAGE  PRICE,Income per capita,Median Age Male,Median Age Male.1,Bachelor's degree > 25,Public transportation
15367,Zip,PA,Peters Township,Pittsburgh,Washington County,397774,54830,38.8,39.1,0.394899007,0.043427775
15370,Zip,PA,Franklin Township,,Greene County,136664.5833,25112,39.7,43.6,0.122545245,0.00318531
15376,Zip,PA,Donegal Township,Pittsburgh,Washington County,141909.4167,41546,45.9,50.6,0.141285956,0
15377,Zip,PA,West Finley Township,Pittsburgh,Washington County,191743.8333,26162,39.5,47.3,0.110824742,0
15378,Zip,PA,Mt Pleasant Township,Pittsburgh,Washington County,110707.6667,36508,33.6,22.4,0,0
15379,Zip,PA,West Middletown,Pittsburgh,Washington County,101865,31970,49.3,56.3,0.146341463,0
15380,Zip,PA,Richhill Township,,Greene County,82435,30032,50,42.3,0.052763819,0
15401,Zip,PA,Uniontown,Pittsburgh,Fayette County,104603.6667,28221,42.5,46.4,0.123438648,0.002555706
15411,Zip,PA,Addison Township,Somerset,Somerset County,141877.5833,36411,52.8,51.6,0.150205761,0
15412,Zip,PA,Allenport,Pittsburgh,Washington County,79415.58333,31029,44.5,49.5,0.116847826,0
15417,Zip,PA,Brownsville Township,Pittsburgh,Fayette County,75872.08333,24308,43.6,44,0.135451802,0.005895129
15419,Zip,PA,California,Pittsburgh,Washington County,73270,21058,23.5,22.8,0.13925328,0.01026694
15420,Zip,PA,Redstone Township,Pittsburgh,Fayette County,38482,9158,13.5,30.7,0.183673469,0
15421,Zip,PA,Wharton Township,Pittsburgh,Fayette County,199414.75,,-666666666,-666666666,0.487179487,
15423,Zip,PA,Long Branch,Pittsburgh,Washington County,119279.4167,29559,40.2,38.4,0.175301205,0
15424,Zip,PA,Henry Clay Township,Pittsburgh,Fayette County,94599.58333,22979,46.6,44.6,0.107519789,0.002525253
15425,Zip,PA,Connellsville Township,Pittsburgh,Fayette County,95530.16667,25965,42.6,44.1,0.130739982,0.003954464
15427,Zip,PA,West Pike Run Township,Pittsburgh,Washington County,71480.5,24493,45.4,48.5,0.105324074,0
15428,Zip,PA,Lower Tyrone Township,Pittsburgh,Fayette County,107820,27835,43.9,46.1,0.089068826,0
15430,Zip,PA,Dunbar Township,Pittsburgh,Fayette County,83039.16667,20840,28.9,49.4,0.015625,0
15431,Zip,PA,Dunbar Township,Pittsburgh,Fayette County,88411.75,27965,47.1,50.9,0.108125607,0.003363229
15432,Zip,PA,Dunlevy,Pittsburgh,Washington County,101171.5833,22255,43.5,47.7,0.127536232,0
15433,Zip,PA,Luzerne Township,Pittsburgh,Fayette County,93565.5,20827,51.5,52.9,0.064205457,0
15434,Zip,PA,Elco,Pittsburgh,Washington County,77973.16667,21233,42.8,46.9,0.053921569,0
15436,Zip,PA,Fairchance,Pittsburgh,Fayette County,84600.5,22569,43,42.7,0.072736521,0.004170142
15437,Zip,PA,Wharton Township,Pittsburgh,Fayette County,162051,21769,41.4,37.1,0.155691964,0
15438,Zip,PA,Washington Township,Pittsburgh,Fayette County,79180.5,25833,41.7,54.4,0.106286455,0
15440,Zip,PA,Wharton Township,Pittsburgh,Fayette County,150000.25,37735,58.5,60.3,0,0
15442,Zip,PA,Redstone Township,Pittsburgh,Fayette County,84355.75,23210,36.8,45.6,0.076498423,0
15445,Zip,PA,Hopwood,Pittsburgh,Fayette County,139787.1667,29187,46.6,47.4,0.112399194,0
15446,Zip,PA,Saltlick Township,Pittsburgh,Fayette County,82874.41667,23271,76.2,47.5,0.421259843,0
15448,Zip,PA,South Huntingdon Township,Pittsburgh,Westmoreland County,58286.2,21815,37.9,29.8,0,0
15449,Zip,PA,Menallen Township,Pittsburgh,Fayette County,58794,22109,16.9,35.8,0.236421725,0
15450,Zip,PA,Luzerne Township,Pittsburgh,Fayette County,49569.66667,12881,36.7,41.7,0.007716049,0
15451,Zip,PA,Springhill Township,Pittsburgh,Fayette County,85494.91667,34277,44.9,44.4,0.142144638,0
15456,Zip,PA,North Union Township,Pittsburgh,Fayette County,98286.41667,21197,50,49.8,0.052470708,0
