zipcode,State,City,Metro,CountyName,Average RE Prices
02025,MA,Cohasset,Boston-Cambridge-Newton,Norfolk County,851774.8333
02026,MA,Dedham,Boston-Cambridge-Newton,Norfolk County,510792.6667
02030,MA,Dover,Boston-Cambridge-Newton,Norfolk County,1127336.417
02032,MA,Walpole,Boston-Cambridge-Newton,Norfolk County,530639
02035,MA,Foxborough,Boston-Cambridge-Newton,Norfolk County,465231.6667
02038,MA,Franklin,Boston-Cambridge-Newton,Norfolk County,436572
02043,MA,Hingham,Boston-Cambridge-Newton,Plymouth County,797004.0833
02045,MA,Hull,Boston-Cambridge-Newton,Plymouth County,425593.6667
02047,MA,Scituate,Boston-Cambridge-Newton,Plymouth County,410497.75
02048,MA,Mansfield,Providence-Warwick,Bristol County,441824
02050,MA,Marshfield,Boston-Cambridge-Newton,Plymouth County,462689.4167
02051,MA,Marshfield,Boston-Cambridge-Newton,Plymouth County,700603
02052,MA,Medfield,Boston-Cambridge-Newton,Norfolk County,674256.5833
02053,MA,Medway,Boston-Cambridge-Newton,Norfolk County,451065.6667
02054,MA,Millis,Boston-Cambridge-Newton,Norfolk County,428702
02056,MA,Norfolk,Boston-Cambridge-Newton,Norfolk County,534880.0833
02059,MA,Marshfield,Boston-Cambridge-Newton,Plymouth County,615116.1667
02061,MA,Norwell,Boston-Cambridge-Newton,Plymouth County,631004
02062,MA,Norwood,Boston-Cambridge-Newton,Norfolk County,481343.1667
02066,MA,Scituate,Boston-Cambridge-Newton,Plymouth County,575315.5
02067,MA,Sharon,Boston-Cambridge-Newton,Norfolk County,573253
02071,MA,Walpole,Boston-Cambridge-Newton,Norfolk County,545290.8333
02072,MA,Stoughton,Boston-Cambridge-Newton,Norfolk County,380745.9167
02081,MA,Walpole,Boston-Cambridge-Newton,Norfolk County,512935.4167
02090,MA,Westwood,Boston-Cambridge-Newton,Norfolk County,734444.5
02093,MA,Wrentham,Boston-Cambridge-Newton,Norfolk County,487074.3333
02108,MA,Boston,Boston-Cambridge-Newton,Suffolk County,1246405.167
02109,MA,Boston,Boston-Cambridge-Newton,Suffolk County,872498.3333
02110,MA,Boston,Boston-Cambridge-Newton,Suffolk County,1363870.083
02111,MA,Boston,Boston-Cambridge-Newton,Suffolk County,970541.5
02113,MA,Boston,Boston-Cambridge-Newton,Suffolk County,593769.0833
02114,MA,Boston,Boston-Cambridge-Newton,Suffolk County,700372
02115,MA,Boston,Boston-Cambridge-Newton,Suffolk County,760032.4167
02116,MA,Boston,Boston-Cambridge-Newton,Suffolk County,1120247.667
02118,MA,Boston,Boston-Cambridge-Newton,Suffolk County,866722
02119,MA,Boston,Boston-Cambridge-Newton,Suffolk County,485587.75
02120,MA,Boston,Boston-Cambridge-Newton,Suffolk County,581371.9167
02121,MA,Boston,Boston-Cambridge-Newton,Suffolk County,405376.75
02122,MA,Boston,Boston-Cambridge-Newton,Suffolk County,485124.6667
02124,MA,Boston,Boston-Cambridge-Newton,Suffolk County,495208.25
02125,MA,Boston,Boston-Cambridge-Newton,Suffolk County,526459.9167
