zipcode,Income per capita,Median Age Male,Median Age Male,Bachelor's degree > 25,Median Home Value,Public transportation
01081,27940,42.8,42.1,0.125744048,190800,0
01082,30050,43.4,43.2,0.163728286,193700,0.000209908
01083,28374,42.8,40.7,0.175364363,217400,0
01084,48133,53.3,49.5,0.255813953,266700,0
01085,31563,36.7,42.4,0.21259641,228900,0.005430676
01086,2380,19.4,19,,-666666666,0
01088,29031,41.8,42.4,0.275080906,279500,0
01089,31135,38,40,0.189541489,222000,0.015045064
01092,34723,31.9,40.2,0.328436516,216100,0
01093,56122,47.7,51.5,0.375609756,349000,0
01094,29900,67.1,65.2,0.102040816,183300,0
01095,48112,47.5,47.1,0.26274003,299900,0.006622517
01096,41671,40.6,48.2,0.223523422,282200,0.001992032
01097,13193,0,17.9,0.125,-666666666,0
01098,42880,51.1,50.4,0.198473282,275500,0.010086455
01103,22689,30.9,45,0.096275072,119900,0.099385246
01104,20132,34.8,35.9,0.090079286,138200,0.059362724
01105,13698,29.1,33.3,0.066914006,142000,0.102634468
01106,55368,44.6,46.9,0.319380682,336400,0.00485306
01107,14816,23.7,30,0.072563814,159900,0.082281953
01108,20693,31,33.9,0.101992966,156700,0.058966989
01109,15676,25,31.6,0.103931204,132300,0.046155249
01118,30775,33.8,40.5,0.195878312,164700,0.006904955
01119,23094,33.1,37.6,0.145769862,153600,0.005943804
01128,35170,51.6,46.5,0.138861629,171700,0.005974608
01129,30704,40.5,43.7,0.163034705,171900,0
01151,19779,30.2,33.9,0.116160698,132800,0.033286713
01199,-666666666,-666666666,-666666666,,-666666666,
01201,30842,41.9,45.7,0.179251357,174300,0.017312894
01220,30236,43.1,47.3,0.149358974,155000,0.003217822
01222,31715,37.8,55.5,0.114516129,254400,0
01223,40909,52.7,51.6,0.158950617,264000,0
01224,20493,54.6,49.6,0.04950495,184400,0.180851064
01225,35138,51.1,50.4,0.161986162,193500,0
01226,38626,48,50.7,0.228473674,184800,0.005328099
01229,20554,67.9,63.6,0.128571429,312500,0
01230,36918,47.9,51.1,0.176671547,348000,0.01963502
01235,37383,49.9,51.5,0.174672489,195300,0.002617801
01236,42085,54,62.1,0.240806643,288900,0
01237,35028,49.8,51.3,0.254746835,278700,0
01238,35471,41.8,49.5,0.160182025,288200,0.007089804
01240,51233,51.8,60.7,0.283834049,332500,0
01242,30883,50,30.7,0.385542169,268800,0
01243,53718,62.5,56,0.170940171,241700,0
01244,35831,43.5,65.3,0.140625,381600,0
01245,57522,58.4,57,0.303468208,453000,0.013303769
01247,25850,42.3,45.3,0.154797884,151800,0.014034083
01253,49644,59.4,60.9,0.149253731,255600,0.025723473
01254,66893,59.9,58,0.246242775,457200,0
01255,36314,46.6,49.9,0.176217765,292400,0.010570825
01256,32142,49,49.3,0.133709981,178800,0
01257,53890,55.4,53.6,0.18170581,329900,0
01258,40856,51.9,54.3,0.326034063,423800,0.011904762
01259,60222,58.9,60.8,0.217213115,362300,0.015564202
01260,30861,45.4,32.7,0.224913495,427300,0
01262,38441,58.5,56.3,0.191512514,392100,0.009345794
01264,47234,65.1,53.5,0.114457831,350000,0.043478261
01266,43944,55.6,54.8,0.249769585,376500,0.004065041
01267,34865,26.2,33.5,0.233270052,312400,0.012618297
01270,48451,53.1,49.3,0.25,287300,0
01301,30160,41.7,45.2,0.195294827,190100,0.005780347
01330,42015,50.3,52.4,0.228492137,283800,0.01758794
01331,27847,46.1,43.7,0.134963024,159700,0.013783039
01337,36024,49.6,52.3,0.159055118,243500,0
01338,25494,62.2,41.4,0.118811881,212500,0
01339,31493,48.2,52.7,0.208371247,234300,0.00331675
01340,30308,50.9,53.8,0.157456472,217900,0.005605381
01341,51754,51.8,51.6,0.260805861,318500,0.009737098
01342,34530,31.3,49.1,0.371727749,291000,0.010294118
01343,36273,61.3,60.5,0,255600,0
01344,29002,44.8,45.3,0.112338858,199800,0.02170767
01346,32336,49.4,50.1,0.1875,245200,0
01347,31898,50.8,27.7,0.207207207,124400,0
01349,27235,34.8,39.1,0.117983963,195200,0.06618705
01350,23018,54.3,39.5,0.060606061,107800,0
01351,40029,46.9,46.8,0.19964455,250900,0.005704971
01354,39175,43,48.2,0.269767442,241800,0
01355,36064,50.7,54.9,0.191666667,253800,0.012987013
01360,37542,44.6,49.7,0.195495495,237200,0
01364,26454,43.1,47.2,0.127320035,163200,0.007082153
01366,35561,52.5,48.3,0.155136268,278000,0.004651163
01367,26574,49.6,43.5,0.1825,208000,0
01368,35724,53.5,51.2,0.097484277,231600,0
01370,38985,48.5,54.4,0.258637084,246600,0
01373,43746,48.3,49.7,0.219622216,295700,0.020491803
01375,37502,27.9,35.1,0.177087379,295100,0.170004261
01376,27775,44.7,45,0.153846154,195600,0.0126369
01378,30362,54.8,55.2,0.228333333,219400,0
01379,32988,50.3,52.6,0.281437126,209800,0.018229167
01420,26190,35.2,37,0.141377741,190900,0.022989119
01430,37771,37.9,40.9,0.275862069,247200,0.012474616
01431,37829,45.4,47.7,0.175866496,263300,0.009976526
01432,46314,38.7,39.7,0.26355369,322500,0.027910852
01434,19659,45.1,34.5,0.18031746,302900,0.027237354
01436,31615,38.9,42.3,0.169026953,171900,0
01438,31356,30.7,38.5,0.002283105,202000,0
01440,27491,40.6,41.6,0.121749729,181500,0.010981042
01450,54498,45.6,43.8,0.396391753,459900,0.040274358
01451,68615,46.5,46.1,0.362543499,580600,0.070785071
01452,39958,46.6,47.1,0.194503817,263100,0.00644672
01453,32012,39.8,40.8,0.199596567,237100,0.013167311
01460,52392,40.1,45.8,0.287073864,436100,0.037058709
01462,43112,45.2,44.5,0.196768537,293300,0.011921216
01463,43882,41.3,44.7,0.254766444,338900,0.012320649
01464,32353,42.2,49.3,0.185508219,309200,0.051602564
01467,51738,60.3,39.6,0.25,404500,0
01468,39850,44.6,43.9,0.207674944,197700,0
01469,37414,37.4,38.6,0.225423399,267600,0.013732834
01473,42700,42.8,46,0.256972112,281800,0.034869544
01474,52482,50.2,46.9,0.208955224,288500,0
01475,31098,35.4,42.2,0.123441734,195200,0.005833481
01501,41138,45.3,47.3,0.254665471,253300,0.006081871
01503,48666,44.2,50.2,0.289299868,401100,0.013414634
01504,37798,40.6,42.4,0.220560453,270900,0.005997819
01505,46857,42.3,46.3,0.348778961,374600,0.006740682
01506,39360,41,45.5,0.209069946,226100,0.001119194
01507,41064,43.7,41.4,0.240008759,291700,0.002304147
01510,34020,37.3,40,0.255660766,245200,0.004256966
01515,34737,39.5,42.5,0.216514954,247700,0.004205214
01516,37792,41.5,42.6,0.262246326,304800,0.005233494
01518,37429,38.4,38.1,0.26942212,333700,0
01519,47808,43.8,43.2,0.305636138,365100,0.033232628
01520,45766,40.2,45,0.308137931,309700,0.004899032
01521,36563,43.6,45.8,0.173289183,241400,0
01522,47005,37.2,41.9,0.300569801,296500,0
01523,35596,34.9,47,0.241677396,355200,0.016618911
01524,34491,43,45.2,0.172805725,247900,0.002307692
01525,21424,27.9,24.6,0.151785714,272100,0
01527,41066,41.4,44.2,0.192604972,278700,0.007004532
01529,38029,38.6,44,0.198391421,298500,0.027888446
01531,38908,49,45.5,0.200431034,285100,0.004724409
01532,56781,43.4,43.9,0.330930411,415000,0.011044418
01534,43207,44.2,43.6,0.201499118,342700,0.013441613
01535,33347,45.5,38.8,0.141962422,246900,0.016003123
01536,47821,37.4,39.8,0.238258224,345700,0.036677192
01537,33483,32.7,39.5,0.27266881,181300,0.000800641
01540,32791,40.8,39.6,0.192109562,249100,0.00837576
01541,61008,46.5,50.1,0.303852201,374100,0.005197505
01542,39537,40.4,43.8,0.147465438,260100,0.02553542
01543,39299,36.8,43.4,0.29984051,283800,0
01545,47333,39.7,44,0.303431764,398000,0.032437885
01550,26662,39.2,40.6,0.108786611,193500,0.002898185
01560,44313,37.3,41.5,0.28883812,345900,0.045272969
01561,34694,67.2,59.5,0.550185874,-666666666,0
01562,33055,43.4,46.9,0.145123967,254200,0.005180534
01564,48371,45.1,48,0.283786122,340700,0.006982904
01566,48136,45.8,42.5,0.282161888,267400,0.008827684
01568,50072,40.2,41.7,0.373338326,438600,0.012964348
01569,38532,39.2,43.7,0.22728705,287300,0.001474333
01570,30919,41.2,41.5,0.171998681,222800,0.004219918
