,zipcode,AVERAGE  PRICE,Income per capita,Median Age Male,Median Age Female,Bachelor's degree > 25,Public transportation,clusters
7657,27504,163781.1667,22923.0,36.1,44.2,0.118991628,0.006389323000000001,0
7658,27505,146526.8333,24965.0,37.8,42.7,0.078973592,0.0,0
7659,27507,136960.6667,23204.0,53.4,53.3,0.093140794,0.0,0
7660,27508,122143.25,17871.0,38.7,52.6,0.127460169,0.0,0
7661,27509,139553.8333,16332.0,25.3,47.5,0.068321324,0.006176305,0
7662,27510,270443.0,33283.0,32.6,31.0,0.316546763,0.135625597,0
7663,27511,284442.9167,39280.0,38.3,42.7,0.321878395,0.009875203,0
7664,27513,337427.5833,46514.0,39.2,40.7,0.388091622,0.003934321,0
7665,27514,410562.9167,38059.0,26.9,22.9,0.253502377,0.125174314,0
7666,27516,363156.25,46577.0,33.7,38.5,0.281748813,0.060680285,0
7667,27517,413434.5833,61548.0,43.5,46.4,0.31217667,0.059437751,0
7668,27518,427901.9167,55762.0,43.3,44.4,0.408736245,0.003369456,0
7669,27519,438938.0833,51526.0,38.2,39.2,0.386907248,0.005846006,0
7670,27520,194831.25,28002.0,36.2,39.1,0.17775880600000002,0.003049961,0
7671,27521,131033.9167,20544.0,33.5,35.4,0.08883248699999999,0.000378931,0
7672,27522,187691.1667,29304.0,40.3,41.4,0.18609304699999998,0.0,0
7673,27523,415827.5,43557.0,39.9,38.3,0.298668989,0.0,0
7674,27524,150965.5,22644.0,38.9,40.1,0.120880324,0.005166667,0
7675,27525,190808.3333,26489.0,40.4,39.5,0.132307073,0.0,0
7676,27526,266553.6667,32402.0,37.8,37.4,0.267232339,0.0005597180000000001,0
7677,27527,246997.8333,33199.0,35.1,36.8,0.284051144,0.0,0
7678,27529,222943.75,30214.0,34.9,38.4,0.22275361,0.003670596,0
7679,27530,119617.25,23290.0,37.0,41.4,0.138884691,0.00818813,0
7680,27534,150781.9167,26663.0,35.6,41.2,0.17149879399999998,0.006343078,0
7681,27536,41119.16667,23109.0,33.4,37.7,0.103623466,0.0,0
7682,27537,110335.9167,22521.0,42.4,43.9,0.080077551,0.000289436,0
