,zipcode,AVERAGE  PRICE,Income per capita,Median Age Male,Median Age Female,Bachelor's degree > 25,Public transportation,clusters
408,2452,618628.0,37099.0,30.2,33.2,0.277753158,0.041287345,4
409,2453,568155.3333,39250.0,32.8,31.6,0.301403582,0.08934401900000001,4
410,2458,887836.6667,68298.0,37.9,45.1,0.320557103,0.11966947,4
411,2459,1303476.6670000001,84409.0,43.9,42.9,0.31207896,0.109678761,4
412,2460,917013.25,63959.0,37.7,41.8,0.287962963,0.136239249,4
413,2461,1045340.25,72614.0,43.1,43.4,0.301097653,0.21261034,4
414,2462,899656.6667,66389.0,52.3,53.6,0.279178338,0.10960757800000001,4
415,2464,718248.5,51345.0,40.5,44.3,0.283800753,0.146441074,4
416,2465,938692.75,72607.0,41.8,43.6,0.264562515,0.097370518,4
417,2466,956277.75,50304.0,36.7,37.5,0.265515278,0.138613861,4
418,2467,1072859.8329999999,53597.0,23.7,24.5,0.276208178,0.122002304,4
419,2468,1497021.167,99863.0,47.2,45.5,0.31012333,0.121703854,4
420,2472,601002.0,53953.0,37.7,39.3,0.317787105,0.158547346,4
421,2474,730403.0,56762.0,38.8,40.2,0.310147736,0.19476486199999998,4
422,2476,746509.25,61040.0,43.3,44.2,0.297957229,0.196172784,4
423,2478,980501.4167,62595.0,40.3,42.3,0.24482739399999998,0.169233174,4
424,2481,1417513.75,91788.0,41.9,26.6,0.357478422,0.10969350300000001,4
425,2482,1121494.0,82619.0,44.6,42.8,0.336535745,0.114092626,4
426,2492,1034147.667,78587.0,43.2,46.4,0.318903211,0.114217418,4
427,2493,1499116.333,87978.0,45.5,43.0,0.315019763,0.059597205,4
428,2494,868195.6667,66359.0,41.3,40.7,0.27939669100000003,0.120929309,4
430,2534,756459.25,34881.0,31.0,47.4,0.146484375,0.0,4
431,2535,1431022.583,59395.0,48.5,49.7,0.35531496100000004,0.041139241,4
435,2539,926220.1667,41636.0,43.4,45.1,0.249820273,0.024103469,4
436,2540,596612.25,50386.0,56.9,60.4,0.25663848100000003,0.032898314,4
437,2543,776061.3333,97845.0,48.9,61.7,0.45203252,0.012195122,4
438,2554,1461541.5,51690.0,39.3,40.1,0.294582537,0.003871592,4
439,2556,552543.25,61401.0,54.8,59.3,0.322667868,0.0,4
440,2557,616878.1667,40124.0,42.0,43.9,0.235534775,0.012820513,4
446,2564,1678522.333,32951.0,53.4,49.0,0.4166666670000001,0.09782608699999999,4
447,2568,693227.0833,39482.0,41.9,45.2,0.198047859,0.051899907,4
449,2575,848995.5,51035.0,54.4,55.5,0.29689549600000004,0.0,4
452,2630,541678.8333,66680.0,57.8,54.4,0.27611484399999997,0.0,4
455,2633,696845.1667,69334.0,62.6,60.7,0.362685266,0.017250674,4
457,2637,594674.6667,73472.0,62.5,46.5,0.175182482,0.0,4
458,2638,524879.1667,49724.0,65.5,65.4,0.24409734800000002,0.0,4
464,2646,567359.9167,41875.0,60.5,62.6,0.253196931,0.0,4
467,2650,950833.0833,37913.0,61.1,67.5,0.302477184,0.0,4
469,2653,630094.0,46675.0,59.7,60.5,0.328169588,0.00166251,4
470,2655,569078.1667,60233.0,54.7,57.0,0.29413867,0.004985755,4
471,2657,561256.75,47429.0,55.2,62.0,0.266072092,0.020744356000000002,4
472,2659,537422.8333,49907.0,55.2,55.2,0.286075949,0.0,4
474,2663,510928.4167,44099.0,76.6,72.5,0.0,0.0,4
476,2666,623662.5,39326.0,62.1,69.2,0.474501109,0.0,4
477,2667,580851.3333,38014.0,54.5,57.7,0.325268817,0.016219588,4
486,2713,963470.5,90503.0,62.3,64.5,0.375,0.0,4
519,2791,698508.25,45702.0,66.8,68.4,0.296666667,0.177777778,4
523,2807,910620.5,39287.0,54.0,56.4,0.271513353,0.016431925,4
542,2835,619981.5,62153.0,50.0,53.7,0.391855645,0.043068089000000004,4
544,2837,559654.75,51447.0,58.5,57.2,0.29900920000000003,0.004530011,4
752,3750,620145.1667,60644.0,36.1,43.8,0.400702988,0.022727273,4
755,3755,547223.0833,49486.0,22.8,26.4,0.29365525,0.030447626000000002,4
806,3854,1186546.25,105175.0,61.0,62.8,0.394984326,0.0,4
813,3862,528744.9167,60274.0,50.3,50.7,0.30394160600000003,0.01010952,4
819,3870,728577.3333,74724.0,52.4,55.4,0.344331841,0.0,4
843,3910,516730.9167,44774.0,55.3,66.2,0.25170068,0.0,4
846,4003,515072.75,41139.0,61.8,55.5,0.38297872299999997,0.0,4
848,4006,1047748.333,27700.0,27.5,22.0,0.548780488,0.0,4
912,4109,549114.25,42328.0,63.0,53.4,0.577777778,0.147058824,4
913,4110,626661.5833,92011.0,47.2,56.8,0.38263358799999997,0.031420765,4
1222,5055,513619.9167,59015.0,42.1,44.3,0.295706065,0.0,4
1298,5445,527959.3333,63635.0,46.5,51.5,0.37796424700000003,0.0,4
1573,6390,1076148.9170000001,56484.0,59.3,58.6,0.214285714,0.052238806,4
1643,6612,583172.25,69652.0,47.9,49.3,0.343155198,0.061430575,4
1670,6783,551061.5,88182.0,52.1,53.1,0.376756066,0.031107045,4
1677,6793,581609.25,103102.0,56.2,56.1,0.336903603,0.085843373,4
1684,6807,910856.0833,85743.0,40.0,45.3,0.35295328299999995,0.20272227,4
1688,6820,1352004.5,112096.0,39.4,39.3,0.475936643,0.280975175,4
1689,6824,582156.8333,71265.0,39.3,40.4,0.36807351299999996,0.152402357,4
1691,6830,1270303.3329999999,94979.0,41.1,43.6,0.299147243,0.188062571,4
1692,6831,1188283.1670000001,106319.0,44.2,47.7,0.35468868600000003,0.158165582,4
1693,6840,1259502.0829999999,119180.0,42.5,45.0,0.426287201,0.21644147,4
1696,6853,697250.75,109279.0,45.2,43.1,0.462579917,0.21244394600000002,4
1699,6870,1203624.25,106114.0,42.1,42.7,0.339046823,0.273697426,4
1700,6877,594925.5833,80854.0,43.8,46.4,0.408735795,0.070972082,4
1701,6878,1326518.5829999999,101493.0,42.3,42.1,0.355245031,0.29214889,4
1702,6880,1084076.4170000001,110592.0,45.2,45.5,0.375488151,0.223068817,4
1703,6883,769124.4167,99698.0,45.2,48.2,0.397931655,0.11643420300000001,4
1704,6890,759343.9167,98334.0,45.5,51.2,0.426485231,0.198692153,4
1705,6896,546302.1667,65470.0,45.9,47.8,0.35392735200000003,0.048237885,4
1706,6897,723062.3333,85151.0,41.9,44.9,0.4044698370000001,0.12908046,4
1709,6903,706201.25,98509.0,47.1,48.0,0.37116024299999995,0.149761838,4
1710,6905,506123.5833,60012.0,37.8,40.5,0.28219980899999997,0.079043447,4
1716,7004,524892.4167,53355.0,46.1,47.1,0.33629300799999995,0.036550543,4
1718,7006,544242.1667,62831.0,42.9,46.5,0.35857594600000003,0.06333258900000001,4
1729,7020,562871.8333,62427.0,37.0,38.2,0.444215994,0.42786368399999997,4
1730,7021,956971.0,104134.0,47.4,45.8,0.410931174,0.15,4
1733,7024,527123.8333,48553.0,44.3,47.7,0.360792203,0.271502822,4
1736,7028,670403.0833,86991.0,42.3,42.4,0.407676349,0.349490498,4
1738,7030,736610.5833,86413.0,32.1,31.8,0.505352538,0.61407767,4
1745,7039,630322.0833,73641.0,44.0,45.9,0.354556075,0.128774359,4
1746,7040,573328.0,59215.0,39.2,41.3,0.315359477,0.289594584,4
1747,7041,842622.9167,68521.0,38.3,39.9,0.340448469,0.289096755,4
1748,7042,585687.25,61361.0,39.0,40.4,0.35731216600000004,0.26455620399999996,4
1749,7043,755256.25,86404.0,42.6,40.9,0.378753754,0.30481105399999997,4
1751,7045,564347.8333,78336.0,47.4,47.7,0.32165646600000003,0.078575466,4
1752,7046,766928.1667,96700.0,41.2,44.8,0.342314991,0.13230429999999999,4
1759,7058,606960.5,58242.0,38.1,38.5,0.42266551,0.067991632,4
1760,7059,752977.8333,79377.0,45.1,47.7,0.317803661,0.036884702000000005,4
1768,7068,536801.75,68977.0,46.0,51.3,0.366261747,0.079119367,4
1769,7069,683707.5,64869.0,41.4,45.8,0.23344370899999997,0.08399246699999999,4
1776,7076,509227.0,60706.0,43.1,44.5,0.321195905,0.125736897,4
1778,7078,1531971.667,120224.0,40.6,43.4,0.341783003,0.299120761,4
1779,7079,642212.75,60134.0,33.6,35.4,0.365264641,0.29148152899999996,4
1782,7082,574376.1667,49975.0,44.1,44.3,0.340731854,0.08764044900000001,4
1784,7086,850290.5,62980.0,37.1,38.3,0.317010079,0.46916826,4
1787,7090,764093.5833,80646.0,40.5,42.5,0.385764905,0.22145159,4
1788,7092,605779.0,61337.0,45.0,52.8,0.308726179,0.081081081,4
1811,7302,837291.5,76360.0,34.0,34.7,0.38850262799999996,0.602996779,4
1815,7307,521922.75,30027.0,33.1,34.6,0.24245299,0.41787122200000004,4
1816,7310,827504.8333,84555.0,30.8,30.2,0.332034055,0.747728947,4
1817,7401,658434.25,71890.0,44.2,43.3,0.434343434,0.174516129,4
1823,7417,980964.3333,80051.0,46.6,48.2,0.381801614,0.063092119,4
1829,7423,764916.75,84725.0,44.6,42.0,0.493372607,0.253976961,4
1840,7446,563228.6667,68538.0,46.4,45.8,0.44112785600000004,0.116935484,4
1841,7450,729559.5,77451.0,41.4,42.2,0.392704791,0.214930493,4
1842,7452,651908.8333,66702.0,38.2,41.8,0.412164866,0.24081856399999998,4
1845,7458,971398.5833,88705.0,47.0,45.2,0.34039215700000003,0.090945274,4
1853,7481,740185.5833,68645.0,44.4,45.0,0.374679062,0.099189754,4
1869,7605,560852.8333,47892.0,42.1,44.4,0.36326142100000003,0.177483444,4
1873,7620,2629941.0,84146.0,49.0,49.4,0.45040946299999995,0.078651685,4
1875,7624,705274.6667,58028.0,45.0,45.0,0.37929275799999995,0.101616063,4
1876,7626,636146.6667,63585.0,41.2,45.1,0.383740665,0.139975093,4
1877,7627,759591.5,83306.0,45.8,43.5,0.42730333600000003,0.102404274,4
1879,7630,507334.5,45446.0,44.3,46.3,0.214623982,0.112938005,4
1881,7632,1265093.6670000001,71836.0,47.9,49.1,0.350285289,0.17486819,4
1882,7640,604297.4167,58264.0,44.8,43.5,0.387601753,0.11184834099999999,4
1883,7641,670692.75,67569.0,45.1,47.5,0.35195530700000005,0.174368453,4
1884,7642,531987.0,54346.0,42.7,46.1,0.315633385,0.13020236699999999,4
1887,7645,590674.0,59894.0,45.1,42.6,0.30140105100000003,0.13179449,4
1890,7648,584855.75,65114.0,46.5,49.9,0.330590172,0.075484765,4
1891,7649,615916.5,60347.0,43.0,47.1,0.379365932,0.177859391,4
1892,7650,675685.5833,32307.0,37.3,41.4,0.357796392,0.204557935,4
1893,7652,629533.3333,45794.0,44.8,48.4,0.312383901,0.12709635,4
1894,7656,540829.1667,56431.0,41.5,48.1,0.37991618299999996,0.109147361,4
1901,7670,803362.5,72415.0,40.8,43.5,0.34856499700000004,0.221386014,4
1902,7675,572808.1667,62506.0,42.0,46.5,0.346670884,0.108393145,4
1903,7676,518040.25,52580.0,44.9,46.3,0.352767871,0.10468920400000001,4
1904,7677,763073.9167,80195.0,47.2,46.3,0.430238458,0.10360518,4
1906,7702,546702.0833,59360.0,46.0,47.2,0.40902629700000004,0.053305997,4
1908,7704,767437.0,70488.0,40.5,41.3,0.4279440020000001,0.22959373800000002,4
1909,7711,1007395.167,77513.0,49.3,46.9,0.33804059999999997,0.067549669,4
1912,7717,1058777.6670000001,74595.0,52.7,56.1,0.335699077,0.096514745,4
1915,7720,609703.0,55081.0,38.4,42.7,0.29518072300000003,0.06557377,4
1917,7722,748018.5833,72382.0,44.0,45.3,0.318929075,0.058626465999999995,4
1918,7723,1722689.0,59146.0,56.5,47.6,0.214723926,0.092511013,4
1926,7733,663706.1667,71717.0,48.7,49.3,0.32909259399999996,0.15969326,4
1930,7738,587987.9167,51887.0,44.3,44.6,0.263644773,0.106748864,4
1931,7739,624912.1667,82339.0,44.7,47.9,0.383154211,0.165937127,4
1933,7746,532331.3333,59542.0,45.1,43.8,0.344491734,0.171891388,4
1936,7750,693132.6667,75484.0,51.8,53.4,0.40448505,0.136612022,4
1937,7751,535493.9167,58890.0,39.1,40.4,0.31114304,0.15927166199999998,4
1940,7756,528110.5,58511.0,59.3,58.9,0.27463818100000004,0.068257492,4
1941,7757,527178.5833,44731.0,42.7,52.2,0.34942975,0.031451307000000005,4
1943,7760,984030.4167,103483.0,44.7,44.3,0.398832685,0.281066667,4
1944,7762,726765.5833,57456.0,51.1,55.3,0.36184419700000003,0.083354193,4
1978,7869,517980.0,58910.0,41.2,42.4,0.316611181,0.042422867999999996,4
1986,7901,880997.0833,84376.0,40.1,40.0,0.346664963,0.227137847,4
1987,7920,618607.4167,74564.0,43.6,45.6,0.337940529,0.07155185900000001,4
1989,7922,611368.8333,70758.0,44.0,45.4,0.336173234,0.10120125099999999,4
1990,7924,676427.1667,85215.0,41.1,41.3,0.42937524299999996,0.087182148,4
1992,7928,871650.3333,92363.0,42.0,42.5,0.389566065,0.217552952,4
1993,7930,621216.6667,72317.0,47.2,48.6,0.362852113,0.053905665,4
1994,7931,986609.1667,117992.0,44.1,48.2,0.37016317,0.064666667,4
1995,7932,680662.75,68174.0,41.7,48.6,0.37354085600000003,0.08008490900000001,4
1996,7933,505705.4167,70604.0,42.4,48.3,0.329874622,0.08857299099999999,4
1997,7934,694176.0833,74033.0,42.3,44.4,0.31682243,0.077225131,4
1998,7935,778186.4167,91421.0,50.0,49.6,0.24452554699999998,0.180094787,4
1999,7936,559410.0,52877.0,47.2,47.2,0.284638939,0.058919212,4
2000,7940,711011.3333,63191.0,35.3,36.2,0.359291346,0.107356102,4
2001,7945,730196.6667,92076.0,48.0,47.5,0.37504067700000004,0.03441728,4
2002,7946,582226.75,74364.0,43.2,43.3,0.410244361,0.157413057,4
2004,7960,595639.8333,68570.0,39.4,43.1,0.346530182,0.04691108,4
2005,7974,630434.5,63942.0,39.6,41.8,0.361681088,0.206294311,4
2006,7976,1367590.25,62097.0,56.4,58.3,0.39347408799999994,0.187265918,4
2007,7977,584679.25,39257.0,36.1,38.4,0.314285714,0.033112583,4
2008,7979,546104.8333,84068.0,62.1,57.1,0.25609756100000003,0.0,4
2010,7981,514439.9167,55245.0,44.6,49.2,0.288192845,0.041021348,4
2016,8006,763725.0,56434.0,67.8,71.3,0.303951368,0.0,4
2018,8008,825121.9167,68453.0,64.5,64.8,0.32880651899999996,0.031788587,4
2102,8202,1381274.5,83846.0,65.7,65.9,0.313146233,0.016363636,4
2107,8212,764416.3333,39474.0,64.0,74.0,0.348066298,0.0,4
2113,8226,559499.0833,48933.0,52.2,57.2,0.311490647,0.011825726000000002,4
2120,8243,721014.0,56406.0,62.8,63.0,0.249256395,0.009549795,4
2122,8247,1379734.167,81579.0,62.2,62.7,0.369249395,0.046997389,4
2123,8248,686779.5,82163.0,32.5,47.9,0.135869565,0.0,4
2155,8403,770168.1667,88888.0,65.5,63.0,0.310826542,0.04028436,4
2158,8502,631623.25,71981.0,40.0,42.3,0.300856827,0.050547599000000006,4
2160,8510,563253.0833,56124.0,46.4,44.8,0.293857222,0.06290158900000001,4
2173,8535,570451.0,69269.0,46.0,43.6,0.361953883,0.10250957,4
2175,8540,628771.3333,75061.0,38.4,42.2,0.284647121,0.131094443,4
2176,8542,580275.75,40206.0,26.7,30.2,0.22455819600000002,0.106376161,4
2177,8550,636685.8333,78843.0,45.3,44.9,0.347683354,0.25585834,4
2182,8558,686231.25,84077.0,41.0,46.5,0.333133373,0.08429487199999999,4
2202,8720,566363.4167,39783.0,53.1,46.7,0.335227273,0.0,4
2207,8730,636771.4167,63653.0,46.6,48.0,0.413173653,0.010779436000000002,4
2212,8735,572645.1667,56848.0,62.3,64.7,0.278617083,0.013323983000000001,4
2213,8736,629067.8333,56807.0,45.9,47.3,0.33542553199999997,0.017361111000000002,4
2214,8738,1119125.3329999999,87011.0,66.1,68.7,0.392357875,0.097447796,4
2218,8750,1314829.25,90969.0,56.2,56.7,0.386623165,0.04278074900000002,4
2236,8820,510819.3333,51029.0,41.6,42.6,0.316344025,0.174133559,4
