,zipcode,RegionType,StateName,City,Metro,CountyName,AVERAGE  PRICE,Income per capita,Median Age Male,Median Age Female,Bachelor's degree > 25,Public transportation
96,1245,Zip,MA,Monterey,Pittsfield,Berkshire County,469050.9167,57522.0,58.4,57.0,0.303468208,0.013303768999999998
97,1247,Zip,MA,North Adams,Pittsfield,Berkshire County,142420.4167,25850.0,42.3,45.3,0.154797884,0.014034083000000001
98,1253,Zip,MA,Otis,Pittsfield,Berkshire County,282589.3333,49644.0,59.4,60.9,0.149253731,0.025723472999999997
99,1254,Zip,MA,Richmond,Pittsfield,Berkshire County,410024.1667,66893.0,59.9,58.0,0.246242775,0.0
100,1255,Zip,MA,Sandisfield,Pittsfield,Berkshire County,275834.4167,36314.0,46.6,49.9,0.176217765,0.010570825
101,1256,Zip,MA,Savoy,Pittsfield,Berkshire County,180633.5,32142.0,49.0,49.3,0.133709981,0.0
102,1257,Zip,MA,Sheffield,Pittsfield,Berkshire County,348713.6667,53890.0,55.4,53.6,0.18170581,0.0
103,1258,Zip,MA,Mount Washington,Pittsfield,Berkshire County,496021.5,40856.0,51.9,54.3,0.326034063,0.011904762
104,1259,Zip,MA,New Marlborough,Pittsfield,Berkshire County,321820.9167,60222.0,58.9,60.8,0.217213115,0.015564202
105,1262,Zip,MA,Stockbridge,Pittsfield,Berkshire County,430483.3333,38441.0,58.5,56.3,0.191512514,0.009345794000000001
106,1264,Zip,MA,Tyringham,Pittsfield,Berkshire County,422034.9167,47234.0,65.1,53.5,0.114457831,0.043478261
107,1266,Zip,MA,West Stockbridge,Pittsfield,Berkshire County,414393.0833,43944.0,55.6,54.8,0.249769585,0.004065041
108,1267,Zip,MA,Williamstown,Pittsfield,Berkshire County,305498.1667,34865.0,26.2,33.5,0.233270052,0.012618296999999999
109,1270,Zip,MA,Windsor,Pittsfield,Berkshire County,213627.3333,48451.0,53.1,49.3,0.25,0.0
