zipcode,State,City,CountyName,Average RE Prices,Income per capita,Median Age Male,Median Age Female,Bachelor's degree > 25,Public transportation
01072,MA,Shutesbury,Franklin County,266039.25,38304.0,46.7,46.7,0.268359021,0.0
01073,MA,Southampton,Hampshire County,307768.3333,46378.0,45.6,45.9,0.176096342,0.0
01075,MA,South Hadley,Hampshire County,246833.5,32510.0,44.5,36.7,0.200136205,0.012452212
01077,MA,Southwick,Hampden County,259556.6667,38181.0,47.7,47.5,0.192808171,0.003000429
01080,MA,Palmer,Hampden County,179297.3333,24455.0,29.5,36.5,0.117547807,0.0
01081,MA,Wales,Hampden County,201680.5833,27940.0,42.8,42.1,0.125744048,0.0
01082,MA,Ware,Hampshire County,204626.4167,30050.0,43.4,43.2,0.163728286,0.000209908
01083,MA,Warren,Worcester County,220110.0833,28374.0,42.8,40.7,0.175364363,0.0
01084,MA,Chesterfield,Hampshire County,277982.5833,48133.0,53.3,49.5,0.255813953,0.0
01085,MA,Westfield,Hampden County,240342.25,31563.0,36.7,42.4,0.21259641,0.005430676
01088,MA,Hatfield,Hampshire County,327794.0,29031.0,41.8,42.4,0.275080906,0.0
01089,MA,West Springfield,Hampden County,228685.8333,31135.0,38.0,40.0,0.189541489,0.015045064
01092,MA,Warren,Worcester County,202147.5833,34723.0,31.9,40.2,0.328436516,0.0
01093,MA,Whately,Franklin County,318101.5,56122.0,47.7,51.5,0.375609756,0.0
01094,MA,Hardwick,Worcester County,267943.8333,29900.0,67.1,65.2,0.102040816,0.0
01095,MA,Wilbraham,Hampden County,296172.9167,48112.0,47.5,47.1,0.26274003,0.006622517
01096,MA,Williamsburg,Hampshire County,275154.9167,41671.0,40.6,48.2,0.223523422,0.001992032
01097,MA,Russell,Hampden County,161540.6667,13193.0,0.0,17.9,0.125,0.0
01098,MA,Worthington,Hampshire County,246659.25,42880.0,51.1,50.4,0.198473282,0.010086455
01103,MA,Springfield,Hampden County,65149.75,22689.0,30.9,45.0,0.096275072,0.099385246
01104,MA,Springfield,Hampden County,149189.6667,20132.0,34.8,35.9,0.090079286,0.059362724
01105,MA,Springfield,Hampden County,115535.4167,13698.0,29.1,33.3,0.066914006,0.102634468
01106,MA,Longmeadow,Hampden County,352977.8333,55368.0,44.6,46.9,0.319380682,0.00485306
01107,MA,Springfield,Hampden County,156128.75,14816.0,23.7,30.0,0.072563814,0.082281953
01108,MA,Springfield,Hampden County,164208.8333,20693.0,31.0,33.9,0.101992966,0.058966989
01109,MA,Springfield,Hampden County,142823.1667,15676.0,25.0,31.6,0.103931204,0.046155249
01118,MA,Springfield,Hampden County,182078.75,30775.0,33.8,40.5,0.195878312,0.006904955
01119,MA,Springfield,Hampden County,168531.6667,23094.0,33.1,37.6,0.145769862,0.005943804
01128,MA,Springfield,Hampden County,192245.5,35170.0,51.6,46.5,0.138861629,0.005974608
01129,MA,Springfield,Hampden County,181972.75,30704.0,40.5,43.7,0.163034705,0.0
01151,MA,Springfield,Hampden County,149525.8333,19779.0,30.2,33.9,0.116160698,0.033286713
01201,MA,Pittsfield,Berkshire County,174194.9167,30842.0,41.9,45.7,0.179251357,0.017312894
01220,MA,Adams,Berkshire County,146427.3333,30236.0,43.1,47.3,0.149358974,0.003217822
01222,MA,Sheffield,Berkshire County,265341.5,31715.0,37.8,55.5,0.114516129,0.0
01223,MA,Becket,Berkshire County,228513.8333,40909.0,52.7,51.6,0.158950617,0.0
01224,MA,Lanesboro,Berkshire County,174453.3333,20493.0,54.6,49.6,0.04950495,0.180851064
01225,MA,Cheshire,Berkshire County,207145.5,35138.0,51.1,50.4,0.161986162,0.0
01226,MA,Dalton,Berkshire County,198615.25,38626.0,48.0,50.7,0.228473674,0.005328099
01230,MA,Great Barrington,Berkshire County,375849.25,36918.0,47.9,51.1,0.176671547,0.01963502
01235,MA,Hinsdale,Berkshire County,221953.0,37383.0,49.9,51.5,0.174672489,0.002617801
01236,MA,West Stockbridge,Berkshire County,372405.9167,42085.0,54.0,62.1,0.240806643,0.0
01237,MA,Lanesboro,Berkshire County,231596.25,35028.0,49.8,51.3,0.254746835,0.0
01238,MA,Lee,Berkshire County,249393.8333,35471.0,41.8,49.5,0.160182025,0.007089804
01240,MA,Lenox,Berkshire County,340093.0,51233.0,51.8,60.7,0.283834049,0.0
01242,MA,Lenox,Berkshire County,202413.4167,30883.0,50.0,30.7,0.385542169,0.0
01243,MA,Middlefield,Hampshire County,221920.8333,53718.0,62.5,56.0,0.170940171,0.0
01245,MA,Monterey,Berkshire County,469050.9167,57522.0,58.4,57.0,0.303468208,0.013303769
01247,MA,North Adams,Berkshire County,142420.4167,25850.0,42.3,45.3,0.154797884,0.014034083
01253,MA,Otis,Berkshire County,282589.3333,49644.0,59.4,60.9,0.149253731,0.025723473
01254,MA,Richmond,Berkshire County,410024.1667,66893.0,59.9,58.0,0.246242775,0.0
01255,MA,Sandisfield,Berkshire County,275834.4167,36314.0,46.6,49.9,0.176217765,0.010570825
01256,MA,Savoy,Berkshire County,180633.5,32142.0,49.0,49.3,0.133709981,0.0
01257,MA,Sheffield,Berkshire County,348713.6667,53890.0,55.4,53.6,0.18170581,0.0
01258,MA,Mount Washington,Berkshire County,496021.5,40856.0,51.9,54.3,0.326034063,0.011904762
01259,MA,New Marlborough,Berkshire County,321820.9167,60222.0,58.9,60.8,0.217213115,0.015564202
01262,MA,Stockbridge,Berkshire County,430483.3333,38441.0,58.5,56.3,0.191512514,0.009345794
01264,MA,Tyringham,Berkshire County,422034.9167,47234.0,65.1,53.5,0.114457831,0.043478261
01266,MA,West Stockbridge,Berkshire County,414393.0833,43944.0,55.6,54.8,0.249769585,0.004065041
01267,MA,Williamstown,Berkshire County,305498.1667,34865.0,26.2,33.5,0.233270052,0.012618297
01270,MA,Windsor,Berkshire County,213627.3333,48451.0,53.1,49.3,0.25,0.0
01301,MA,Greenfield,Franklin County,204688.4167,30160.0,41.7,45.2,0.195294827,0.005780347
01330,MA,Ashfield,Franklin County,275003.4167,42015.0,50.3,52.4,0.228492137,0.01758794
01331,MA,Athol,Worcester County,179593.6667,27847.0,46.1,43.7,0.134963024,0.013783039
01337,MA,Bernardston,Franklin County,236029.75,36024.0,49.6,52.3,0.159055118,0.0
01338,MA,Buckland,Franklin County,230754.0833,25494.0,62.2,41.4,0.118811881,0.0
01339,MA,Charlemont,Franklin County,221255.5833,31493.0,48.2,52.7,0.208371247,0.00331675
01340,MA,Colrain,Franklin County,194818.25,30308.0,50.9,53.8,0.157456472,0.005605381
01341,MA,Conway,Franklin County,307217.5,51754.0,51.8,51.6,0.260805861,0.009737098
01342,MA,Deerfield,Franklin County,296414.25,34530.0,31.3,49.1,0.371727749,0.010294118
01343,MA,Florida,Berkshire County,191383.8333,36273.0,61.3,60.5,0.0,0.0
01344,MA,Erving,Franklin County,200456.1667,29002.0,44.8,45.3,0.112338858,0.02170767
01346,MA,Heath,Franklin County,201053.6667,32336.0,49.4,50.1,0.1875,0.0
01347,MA,Montague,Franklin County,128672.0,31898.0,50.8,27.7,0.207207207,0.0
01349,MA,Millers Falls,Franklin County,189916.3333,27235.0,34.8,39.1,0.117983963,0.06618705
01350,MA,Monroe,Franklin County,116690.3333,23018.0,54.3,39.5,0.060606061,0.0
01351,MA,Montague,Franklin County,251824.5,40029.0,46.9,46.8,0.19964455,0.005704971
01354,MA,Gill,Franklin County,224432.8333,39175.0,43.0,48.2,0.269767442,0.0
01355,MA,New Salem,Franklin County,237362.25,36064.0,50.7,54.9,0.191666667,0.012987013
01360,MA,Northfield,Franklin County,234292.6667,37542.0,44.6,49.7,0.195495495,0.0
01364,MA,Orange,Franklin County,164666.1667,26454.0,43.1,47.2,0.127320035,0.007082153
01366,MA,Petersham,Worcester County,268623.5833,35561.0,52.5,48.3,0.155136268,0.004651163
01367,MA,Rowe,Franklin County,218838.0,26574.0,49.6,43.5,0.1825,0.0
01368,MA,Royalston,Worcester County,234807.0,35724.0,53.5,51.2,0.097484277,0.0
01370,MA,Shelburne,Franklin County,260931.5,38985.0,48.5,54.4,0.258637084,0.0
01373,MA,South Deerfield,Franklin County,283669.4167,43746.0,48.3,49.7,0.219622216,0.020491803
01375,MA,Sunderland,Franklin County,313934.0,37502.0,27.9,35.1,0.177087379,0.170004261
01376,MA,Turners Falls,Franklin County,194540.3333,27775.0,44.7,45.0,0.153846154,0.0126369
01378,MA,Warwick,Franklin County,195920.1667,30362.0,54.8,55.2,0.228333333,0.0
